query_id,method,precision_at_5,precision_at_10,ndcg_at_5,ndcg_at_10,map,mrr
web_10y_2y_spread,web_search_calibrated_v19,1.0,0.6,1.0,1.0,1.0,1.0
web_apple_10q,web_search_calibrated_v19,1.0,1.0,1.0,1.0,1.0,1.0
web_apple_filings,web_search_calibrated_v19,1.0,1.0,1.0,1.0,0.9234432234432235,1.0
web_apple_guidance,web_search_calibrated_v19,1.0,1.0,0.7092912526226147,0.8113499146016455,0.7972833783863196,1.0
web_apple_risk,web_search_calibrated_v19,1.0,1.0,0.39395536790095653,0.751743938188048,1.0,1.0
web_banks_credit_cycle,web_search_calibrated_v19,1.0,1.0,1.0,0.9811368677478524,1.0,1.0
web_boeing_supply_chain,web_search_calibrated_v19,1.0,1.0,1.0,1.0,1.0,1.0
web_chevron_energy,web_search_calibrated_v19,1.0,1.0,0.49470482301582164,0.6564245485771181,0.9924242424242423,1.0
web_consumer_demand,web_search_calibrated_v19,1.0,1.0,1.0,0.9864160034461296,1.0,1.0
web_earnings_risk,web_search_calibrated_v19,1.0,1.0,1.0,0.9230187583599665,1.0,1.0
web_high_yield_spread,web_search_calibrated_v19,1.0,0.6,1.0,1.0,1.0,1.0
web_home_depot_8k,web_search_calibrated_v19,1.0,1.0,1.0,1.0,1.0,1.0
web_inflation,web_search_calibrated_v19,1.0,0.6,0.9250256699929476,0.994353076744681,1.0,1.0
web_it_real_yields,web_search_calibrated_v19,1.0,0.6,1.0,1.0,1.0,1.0
web_jpm_credit,web_search_calibrated_v19,1.0,1.0,1.0,1.0,1.0,1.0
web_jpm_filings,web_search_calibrated_v19,1.0,1.0,1.0,1.0,1.0,1.0
web_microsoft_margins,web_search_calibrated_v19,1.0,1.0,1.0,0.9636452638863133,0.7064864670191101,1.0
web_mmm_filings,web_search_calibrated_v19,1.0,1.0,1.0,1.0,1.0,1.0
web_mmm_litigation,web_search_calibrated_v19,1.0,1.0,0.8546456263113074,0.9056749573008228,1.0,1.0
web_portfolio_rates,web_search_calibrated_v19,1.0,1.0,1.0,1.0,1.0,1.0
web_unemployment,web_search_calibrated_v19,1.0,0.6,0.9538828753732315,0.9565557524561504,1.0,1.0
web_visa_spending,web_search_calibrated_v19,1.0,1.0,1.0,1.0,1.0,1.0
web_vix,web_search_calibrated_v19,1.0,0.6,1.0,1.0,1.0,1.0
web_wti_oil,web_search_calibrated_v19,1.0,0.6,1.0,1.0,1.0,1.0
web_yield_curve,web_search_calibrated_v19,1.0,0.6,1.0,1.0,1.0,1.0
