spotcheck_id,query_id,doc_id,human_relevance,label_source,annotator,notes,title
spot_0001,web_earnings_risk,company_axp_212af2ca19003a03,1,human_spotcheck_v2,user_chat,Weak fallback: AXP earnings/consumer-demand evidence is related but not direct market-wide earnings risk appetite.,American Express Reports Second-Quarter Revenue of $10.2 Billion and Earnings Per Share of $2.80
spot_0002,web_earnings_risk,sec_dis_8k_000100103914000153__exhibit_99_1,2,human_spotcheck_v2,user_chat,Useful earnings-risk evidence from DIS earnings release with inflation/guidance context.,TWDC ENTERPRISES 18 CORP 8-K filing filed 2014-05-06 - Exhibit 99.1 Earnings Release / Investor Material
spot_0003,web_earnings_risk,sec_aapl_8k_000119312522278435__exhibit_99_1,2,human_spotcheck_v2,user_chat,Useful earnings-risk evidence from AAPL earnings release with consumer-demand/guidance context.,Apple Inc. 8-K filing filed 2022-11-07 - Exhibit 99.1 Earnings Release / Investor Material
spot_0004,web_earnings_risk,company_axp_9abdf4df697f415f,1,human_spotcheck_v2,user_chat,Weak fallback: AXP earnings evidence is related but not direct market-wide earnings risk appetite.,American Express Reports First-Quarter Revenue of $9.1 Billion and Earnings Per Share of $2.74
spot_0005,web_chevron_energy,sec_cvx_10k_000095012310016846__item_7a_market_risk,2,human_spotcheck_v2,user_chat,Useful Chevron market-risk evidence for energy demand through commodity price exposure.,CHEVRON CORP 10-K filing filed 2010-02-25 - Item 7A Quantitative
spot_0006,web_chevron_energy,sec_cvx_10k_000095012310016846__item_1_business,1,human_spotcheck_v2,user_chat,Weak fallback: Chevron business description is company-relevant but not direct energy-demand evidence.,CHEVRON CORP 10-K filing filed 2010-02-25 - Item 1 Business
spot_0007,web_chevron_energy,sec_cvx_10k_000095012310016846__item_7_mda,1,human_spotcheck_v2,user_chat,Weak fallback: Chevron MD&A is company-relevant but excerpt is not directly demand-focused.,CHEVRON CORP 10-K filing filed 2010-02-25 - Item 7 Management’s
spot_0008,web_chevron_energy,sec_cvx_10q_000009341020000039__part2_item_1a_risk_factors,1,human_spotcheck_v2,user_chat,Weak fallback: Chevron risk factors are company-relevant but excerpt is not directly energy-demand evidence.,CHEVRON CORP 10-Q filing filed 2020-08-05 - Item 1A Risk Factors
spot_0009,web_consumer_demand,sec_crm_10q_000110852421000047__part2_item_1a_risk_factors,1,human_spotcheck_v2,user_chat,Weak fallback: CRM risk factors are not direct consumer-demand evidence.,"Salesforce, Inc. 10-Q filing filed 2021-08-27 - Item 1A RISK FACTORS"
spot_0010,web_consumer_demand,company_hd_99f9fd40753c2a06,1,human_spotcheck_v2,user_chat,Weak fallback: HD earnings release relates to consumers but is not broad consumer-demand risk evidence.,"The Home Depot Announces First Quarter Results; Raises Fiscal Year 2016 Guidance ATLANTA, May 17, 2016 -- The Home Depot®, the world's largest home improvement"
spot_0011,web_consumer_demand,company_mmm_94c074a793adb875,1,human_spotcheck_v2,user_chat,Weak fallback: MMM earnings release relates to demand but is not broad consumer-demand risk evidence.,3M Reports Fourth-Quarter and Full-Year 2022 Results :: 3M Company (MMM)
spot_0012,web_apple_risk,sec_aapl_8k_000119312522278435__exhibit_99_1,2,human_spotcheck_v2,user_chat,"Useful Apple evidence, but not Item 1A risk factors.",Apple Inc. 8-K filing filed 2022-11-07 - Exhibit 99.1 Earnings Release / Investor Material
spot_0013,web_consumer_demand,sec_ko_10k_000002134412000007__item_1a_risk_factors,3,human_spotcheck_v2,user_chat,Highly relevant consumer-demand risk evidence from KO Item 1A risk factors.,COCA COLA CO 10-K filing filed 2012-02-23 - Item 1A RISK FACTORS
spot_0014,web_apple_guidance,sec_aapl_8k_000032019319000002__exhibit_99_112,3,human_spotcheck_v2,user_chat,Highly relevant Apple earnings guidance evidence from earnings-release exhibit.,Apple Inc. 8-K filing filed 2019-01-02 - Exhibit 99.112 Earnings Release / Investor Material
spot_0015,web_unemployment,official_macro_indpro_2023-02-01,3,human_spotcheck_v2,user_chat,Highly relevant official macro growth evidence for unemployment/macro demand context.,Official US macro release: Industrial Production Index on 2023-02-01
