ticker,company,source_type,source_url,candidate_url,final_url,discovery_method,anchor_text,candidate_year,http_status,content_type,accepted,reject_reason,title,published_at,available_at,body_word_count,canonical_url,date_source
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,https://www.apple.com/newsroom/2020/12/a-landmark-year-of-giving-from-apple/,https://www.apple.com/newsroom/2020/12/a-landmark-year-of-giving-from-apple/,html_link,"APPLE STORIES A landmark year of giving from Apple December 16, 2020",2020,200,text/html;charset=utf-8,yes,,A landmark year of giving from Apple - Apple,2020-12-16T23:59:59Z,2020-12-16T23:59:59Z,1455,https://www.apple.com/newsroom/2020/12/a-landmark-year-of-giving-from-apple/,body_date
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,https://www.apple.com/newsroom/2020/12/apple-fitness-plus-the-next-era-of-fitness-is-here-and-everyones-invited/,https://www.apple.com/newsroom/2020/12/apple-fitness-plus-the-next-era-of-fitness-is-here-and-everyones-invited/,html_link,"UPDATE Apple Fitness+: The next era of fitness is here, and everyone’s invited December 14, 2020",2020,200,text/html;charset=utf-8,yes,,"Apple Fitness+: The next era of fitness is here, and everyone’s invited - Apple",2020-12-14T23:59:59Z,2020-12-14T23:59:59Z,1669,https://www.apple.com/newsroom/2020/12/apple-fitness-plus-the-next-era-of-fitness-is-here-and-everyones-invited/,body_date
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,https://www.apple.com/newsroom/2020/12/cardio-fitness-notifications-are-available-today-on-apple-watch/,https://www.apple.com/newsroom/2020/12/cardio-fitness-notifications-are-available-today-on-apple-watch/,html_link,"UPDATE Cardio fitness notifications are available today on Apple Watch December 14, 2020",2020,200,text/html;charset=utf-8,yes,,Cardio fitness notifications are available today on Apple Watch - Apple,2020-12-14T23:59:59Z,2020-12-14T23:59:59Z,735,https://www.apple.com/newsroom/2020/12/cardio-fitness-notifications-are-available-today-on-apple-watch/,body_date
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx,year_pattern,,2020,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx,missing
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/home,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/home,html_link,,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/home,
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/exitstore,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/exitstore,html_link,Exit,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/exitstore,
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/stock-price/default.aspx,https://investor.apple.com/stock-price/default.aspx,html_link,Stock Price,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/stock-price/default.aspx,
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/sec-filings/default.aspx,https://investor.apple.com/sec-filings/default.aspx,html_link,SEC Filings,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/sec-filings/default.aspx,
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/leadership-and-governance/default.aspx,https://investor.apple.com/leadership-and-governance/default.aspx,html_link,Leadership and Governance,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/leadership-and-governance/default.aspx,
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/our_values/default.aspx,https://investor.apple.com/our_values/default.aspx,html_link,Our Values,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/our_values/default.aspx,
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/faq/default.aspx,https://investor.apple.com/faq/default.aspx,html_link,FAQ,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/faq/default.aspx,
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/contact/default.aspx,https://investor.apple.com/contact/default.aspx,html_link,Contact,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/contact/default.aspx,
AAPL,Apple,investor_relations,https://investor.apple.com/,https://investor.apple.com/site-map/default.aspx,https://investor.apple.com/site-map/default.aspx,html_link,Site Map,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/site-map/default.aspx,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx?year=2020,https://investor.apple.com/investor-relations/default.aspx?year=2020,year_pattern,,2020,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx?year=2020,missing
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/home,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/home,html_link,,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/home,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/exitstore,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/exitstore,html_link,Exit,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/investor-relations/www.apple.com/us/shop/goto/exitstore,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx,html_link,Investor Relations,,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx,missing
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/stock-price/default.aspx,https://investor.apple.com/stock-price/default.aspx,html_link,Stock Price,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/stock-price/default.aspx,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/sec-filings/default.aspx,https://investor.apple.com/sec-filings/default.aspx,html_link,SEC Filings,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/sec-filings/default.aspx,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/leadership-and-governance/default.aspx,https://investor.apple.com/leadership-and-governance/default.aspx,html_link,Leadership and Governance,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/leadership-and-governance/default.aspx,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/our_values/default.aspx,https://investor.apple.com/our_values/default.aspx,html_link,Our Values,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/our_values/default.aspx,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/faq/default.aspx,https://investor.apple.com/faq/default.aspx,html_link,FAQ,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/faq/default.aspx,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/contact/default.aspx,https://investor.apple.com/contact/default.aspx,html_link,Contact,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/contact/default.aspx,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/site-map/default.aspx,https://investor.apple.com/site-map/default.aspx,html_link,Site Map,,403,text/html; charset=UTF-8,no,http_status_403,,,,0,https://investor.apple.com/site-map/default.aspx,
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx?Year=2020,https://investor.apple.com/investor-relations/default.aspx?Year=2020,year_pattern,,2020,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx?Year=2020,missing
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx?category=financial&year=2020,https://investor.apple.com/investor-relations/default.aspx?category=financial&year=2020,year_pattern,,2020,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx?category=financial&year=2020,missing
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx?category=Financial&year=2020,https://investor.apple.com/investor-relations/default.aspx?category=Financial&year=2020,year_pattern,,2020,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx?category=Financial&year=2020,missing
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx?year=2021,https://investor.apple.com/investor-relations/default.aspx?year=2021,year_pattern,,2021,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx?year=2021,missing
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx?Year=2021,https://investor.apple.com/investor-relations/default.aspx?Year=2021,year_pattern,,2021,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx?Year=2021,missing
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx?category=financial&year=2021,https://investor.apple.com/investor-relations/default.aspx?category=financial&year=2021,year_pattern,,2021,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx?category=financial&year=2021,missing
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,https://investor.apple.com/investor-relations/default.aspx?category=Financial&year=2021,https://investor.apple.com/investor-relations/default.aspx?category=Financial&year=2021,year_pattern,,2021,200,text/html; charset=utf-8,no,missing_published_at,Investor Relations - Apple,,,3,https://investor.apple.com/investor-relations/default.aspx?category=Financial&year=2021,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/responsibility/reporting-and-metrics/archived-reports,https://www.amgen.com/responsibility/reporting-and-metrics/archived-reports,html_link,Archived Reports,,200,text/html; charset=utf-8,no,missing_published_at,Archived Reports | Amgen,,,123,https://www.amgen.com/responsibility/reporting-and-metrics/archived-reports,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,http://investors.amgen.com/,,html_link,Investors,,,,no,"HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=15)",,,,0,http://investors.amgen.com/,
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases,html_link,Press Releases,,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://investors.amgen.com/news-and-events/events-calendar,,html_link,Events and Presentations,,,,no,"HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=15)",,,,0,https://investors.amgen.com/news-and-events/events-calendar,
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases?year=2020,https://www.amgen.com/newsroom/press-releases?year=2020,html_link,,2020,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases?year=2020,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases?Year=2020,https://www.amgen.com/newsroom/press-releases?Year=2020,html_link,,2020,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases?Year=2020,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases?category=financial&year=2020,https://www.amgen.com/newsroom/press-releases?category=financial&year=2020,html_link,,2020,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases?category=financial&year=2020,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases?category=Financial&year=2020,https://www.amgen.com/newsroom/press-releases?category=Financial&year=2020,html_link,,2020,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases?category=Financial&year=2020,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases?year=2021,https://www.amgen.com/newsroom/press-releases?year=2021,html_link,,2021,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases?year=2021,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases?Year=2021,https://www.amgen.com/newsroom/press-releases?Year=2021,html_link,,2021,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases?Year=2021,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases?category=financial&year=2021,https://www.amgen.com/newsroom/press-releases?category=financial&year=2021,html_link,,2021,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases?category=financial&year=2021,missing
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,https://www.amgen.com/newsroom/press-releases?category=Financial&year=2021,https://www.amgen.com/newsroom/press-releases?category=Financial&year=2021,html_link,,2021,200,text/html; charset=utf-8,no,missing_published_at,News | Amgen,,,56,https://www.amgen.com/newsroom/press-releases?category=Financial&year=2021,missing
