ticker,company,source_type,source_url,crawler_grade,source_http_status,source_final_url,source_error,source_fetch_skipped,vendor_profile,vendor_recommendation,archive_pages_seen,candidate_links_seen,q4_feed_candidates_seen,rss_candidates_seen,wordpress_candidates_seen,accepted_documents,rejected_candidates_checked
AAPL,Apple Inc.,company_press_release_archive,https://www.apple.com/newsroom/archive/,crawler_ready,200,https://www.apple.com/newsroom/archive/,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
AAPL,Apple Inc.,company_press_release_archive,https://www.apple.com/newsroom/archive/iphone/,crawler_ready,200,https://www.apple.com/newsroom/archive/iphone/,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
BA,The Boeing Company,company_press_release_archive,https://boeing.mediaroom.com/news-releases-statements,crawler_ready,200,https://boeing.mediaroom.com/news-releases-statements,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
CRM,Salesforce Inc.,company_earnings_archive,https://www.salesforce.com/news/topics/earnings/,crawler_ready,200,https://www.salesforce.com/news/topics/earnings/?bc=OTH,,no,wordpress,Use WordPress REST API or sitemap before HTML scraping.,0,8,0,0,8,0,8
CRM,Salesforce Inc.,company_press_release_archive,https://www.salesforce.com/news/content-types/press-releases/,crawler_ready,200,https://www.salesforce.com/news/content-types/press-releases/?bc=OTH,,no,wordpress,Use WordPress REST API or sitemap before HTML scraping.,0,8,0,0,8,0,8
CSCO,Cisco Systems Inc.,company_earnings_archive,https://newsroom.cisco.com/earningsandacquisitions,crawler_ready,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-room/earnings-and-acquisitions.html,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
CSCO,Cisco Systems Inc.,company_press_release_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,crawler_ready,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
DIS,The Walt Disney Company,company_press_release_archive,https://thewaltdisneycompany.com/press-releases/,crawler_ready,200,https://thewaltdisneycompany.com/press-releases/,,no,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,8,0,0,0,0,8
GS,The Goldman Sachs Group Inc.,company_earnings_archive,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,crawler_ready,200,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,6,0,0,0,0,6
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,https://www.goldmansachs.com/investor-relations/financials,crawler_ready,200,https://www.goldmansachs.com/investor-relations/financials,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,https://www.goldmansachs.com/investor-relations/financials/annual-reports,crawler_ready,200,https://www.goldmansachs.com/investor-relations/financials/annual-reports,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,7,0,0,0,0,7
GS,The Goldman Sachs Group Inc.,company_presentation_archive,https://www.goldmansachs.com/investor-relations/presentations,crawler_ready,200,https://www.goldmansachs.com/investor-relations/presentations,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,6,0,0,0,0,6
GS,The Goldman Sachs Group Inc.,company_press_release_archive,https://www.goldmansachs.com/pressroom,crawler_ready,200,https://www.goldmansachs.com/pressroom,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
HD,The Home Depot Inc.,company_earnings_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,crawler_ready,200,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
HD,The Home Depot Inc.,company_earnings_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/archive,crawler_ready,200,https://ir.homedepot.com/financial-reports/quarterly-earnings/archive,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
HD,The Home Depot Inc.,company_financial_report_archive,https://ir.homedepot.com/financial-reports/annual-reports/archive,crawler_ready,200,https://ir.homedepot.com/financial-reports/annual-reports/archive,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
HD,The Home Depot Inc.,company_presentation_archive,https://ir.homedepot.com/events-and-presentations,crawler_ready,200,https://ir.homedepot.com/events-and-presentations,,no,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,0,0,0,0,8
