ticker,company,source_type,url,crawler_grade,vendor_profile,vendor_recommendation,accepted_documents,candidate_links_seen,source_http_status,priority,discovery_pass
JNJ,Johnson & Johnson,company_presentation_archive,https://www.investor.jnj.com/events-and-presentations/default.aspx,crawler_ready,cloudflare_challenge,Q4 feed returned no accepted full-body documents; inspect endpoint parameters or use browser network capture.,0,0,,high_vendor_api_adapter,q4_fast
NKE,NIKE Inc.,company_news_archive,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/,crawler_ready,cloudflare_challenge,Q4 feed returned no accepted full-body documents; inspect endpoint parameters or use browser network capture.,0,0,,high_vendor_api_adapter,q4_fast
TRV,The Travelers Companies Inc.,company_earnings_archive,https://investor.travelers.com/financial-information/quarterly-results/default.aspx,crawler_ready,q4_or_q4_like,Q4 feed returned no accepted full-body documents; inspect endpoint parameters or use browser network capture.,0,0,,high_vendor_api_adapter,q4_fast
TRV,The Travelers Companies Inc.,company_ir_hub,https://investor.travelers.com/home/default.aspx,crawler_ready,q4_or_q4_like,Q4 feed returned no accepted full-body documents; inspect endpoint parameters or use browser network capture.,0,0,,high_vendor_api_adapter,q4_fast
CSCO,Cisco Systems Inc.,company_earnings_archive,https://newsroom.cisco.com/earningsandacquisitions,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter,static_smoke
GS,The Goldman Sachs Group Inc.,company_earnings_archive,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,6,200,medium_source_specific_adapter,static_smoke
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,https://www.goldmansachs.com/investor-relations/financials,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter,static_smoke
CSCO,Cisco Systems Inc.,company_press_release_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter,static_smoke
DIS,The Walt Disney Company,company_press_release_archive,https://thewaltdisneycompany.com/press-releases/,crawler_ready,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,8,200,medium_source_specific_adapter,static_smoke
BA,The Boeing Company,company_press_release_archive,https://boeing.mediaroom.com/news-releases-statements,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter,static_smoke
AAPL,Apple Inc.,company_press_release_archive,https://www.apple.com/newsroom/archive/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter,static_smoke
GS,The Goldman Sachs Group Inc.,company_presentation_archive,https://www.goldmansachs.com/investor-relations/presentations,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,6,200,medium_source_specific_adapter,static_smoke
AAPL,Apple Inc.,company_press_release_archive,https://www.apple.com/newsroom/archive/iphone/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter,static_smoke
HD,The Home Depot Inc.,company_earnings_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,8,200,medium_source_specific_adapter,static_smoke
GS,The Goldman Sachs Group Inc.,company_financial_report_archive,https://www.goldmansachs.com/investor-relations/financials/annual-reports,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,7,200,medium_source_specific_adapter,static_smoke
